KAZ,Central Asia,#f768a1,16398,15668,14860,14000,13055,12065,11079,10180,9409,8825,8405,8173,8058,8039,8048,8042,7985,7780,7468,7044,6547,5962,5389,4851,4321,3853
KGZ,Central Asia,#f768a1,7239,7088,6867,6576,6240,5878,5498,5120,4778,4461,4203,4007,3861,3771,3719,3712,3715,3696,3650,3588,3515,3415,3304,3171,3022,2834
LVA,Northern Europe,#4292c6,495,487,465,427,385,346,306,271,241,222,212,205,199,195,189,182,173,167,157,147,136,123,110,97,87,78
LTU,Northern Europe,#4292c6,696,738,707,626,531,452,391,347,314,289,267,249,237,225,219,210,196,183,169,154,139,129,123,122,128,134
LUX,Western Europe,#2171b5,33,32,31,29,28,27,25,24,22,21,19,18,17,16,15,14,14,14,13,13,13,13,13,13,13,13
MKD,Southern Europe,#08519c,1095,1009,908,797,679,577,501,453,413,377,349,329,315,307,291,272,254,235,220,211,207,210,221,236,246,251
MDA,Eastern Europe,#6baed6,2144,2084,2036,1991,1941,1862,1754,1611,1439,1263,1096,949,840,764,712,689,677,670,668,663,658,645,634,617,598,578
MCO,Western Europe,#2171b5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MNE,Southern Europe,#08519c,143,137,133,130,127,123,120,118,113,108,103,97,92,85,79,73,66,61,54,49,43,38,35,31,28,25
NLD,Western Europe,#2171b5,1252,1221,1186,1129,1110,1071,1052,1035,1019,1004,1008,970,929,924,876,827,796,747,718,691,648,626,624,605,588,572
NOR,Northern Europe,#4292c6,375,344,317,294,277,264,251,243,235,232,219,206,206,195,185,187,177,166,161,155,150,144,138,139,135,130
POL,Eastern Europe,#6baed6,8207,7670,7190,6712,6049,5281,4477,3904,3423,3108,2838,2686,2569,2478,2441,2412,2340,2295,2153,2074,1940,1797,1728,1619,1549,1444
PRT,Southern Europe,#08519c,1197,1085,980,900,823,781,739,708,666,623,589,531,483,445,406,378,349,331,322,303,294,276,268,251,244,237
ROU,Eastern Europe,#6baed6,7114,6465,6043,5743,5422,5160,4888,4630,4345,4096,3882,3789,3708,3550,3287,2980,2666,2390,2173,2037,1919,1803,1691,1585,1505,1468
RUS,Eastern Europe,#6baed6,35296,32811,30636,28606,26734,25261,24148,23153,22454,21854,21014,20259,19528,18631,17830,16982,16249,15801,15309,14916,14426,13999,13641,13172,12606,12146
SMR,Southern Europe,#08519c,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRB,Southern Europe,#08519c,3089,2861,2709,2500,2222,1930,1659,1470,1369,1305,1242,1144,1017,896,812,753,708,696,667,640,615,592,569,547,507,476
SVK,Eastern Europe,#6baed6,952,875,814,745,685,621,568,519,477,445,414,399,383,374,362,351,351,339,338,329,319,314,303,297,285,278
SVN,Southern Europe,#08519c,180,162,145,131,120,110,100,93,85,81,75,72,69,65,63,63,61,59,58,55,51,50,48,43,41,38
ESP,Southern Europe,#08519c,2839,2678,2486,2304,2093,1932,1859,1761,1750,1709,1757,1771,1743,1798,1755,1744,1718,1629,1574,1460,1386,1353,1276,1202,1174,1109
SWE,Northern Europe,#4292c6,643,607,551,491,429,390,353,331,314,311,313,310,308,306,305,302,288,282,287,280,283,285,277,280,283,286
CHE,Western Europe,#2171b5,511,498,476,452,426,407,395,381,367,361,347,335,332,324,317,313,309,306,311,309,314,311,317,313,309,312
TJK,Central Asia,#f768a1,17944,18519,18944,18946,18517,17789,16885,15910,14864,13835,12867,11994,11285,10728,10364,10143,10046,10010,10041,10039,10039,9965,9867,9695,9500,9261
TUR,Western Asia,#fa9fb5,72864,68951,65241,61812,58605,55554,52466,49443,46476,43573,40619,37922,35244,32743,30426,28295,26345,24566,22817,21351,19898,18581,17393,16200,15129,14053
TKM,Central Asia,#f768a1,8954,8884,8799,8668,8475,8236,7962,7674,7383,7129,6924,6759,6627,6490,6407,6341,6326,6372,6454,6549,6628,6660,6656,6564,6401,6192
UKR,Eastern Europe,#6baed6,10432,10007,9613,9260,8806,8382,7865,7372,6833,6392,6014,5734,5569,5415,5373,5337,5329,5244,5115,4940,4723,4525,4308,4081,3897,3708
GBR,Northern Europe,#4292c6,5739,5395,4971,4777,4583,4384,4328,4191,4052,3850,3738,3723,3739,3718,3649,3664,3680,3685,3594,3480,3348,3282,3129,3054,2977,2980
UZB,Central Asia,#f768a1,41839,41591,40979,40037,38742,37157,35430,33543,31665,29779,28091,26624,25455,24475,23733,23099,22487,21819,21041,20194,19276,18243,17253,16192,15136,14095
ATG,Caribbean,#fee391,31,29,28,27,26,25,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,11,10,9,9,8
ARG,South America,#fe9929,17881,17443,16895,16174,15435,14693,14033,13393,12847,12393,12023,11728,11427,11115,10865,10607,10419,10155,9966,9626,9282,8930,8496,8127,7751,7443
BHS,Caribbean,#fee391,116,111,107,102,96,90,84,79,74,71,69,68,67,67,67,68,67,66,65,62,60,57,54,52,50,48
BRB,Caribbean,#fee391,63,60,57,55,53,52,51,50,50,50,50,50,51,51,50,49,49,47,47,46,44,44,42,41,40,39
BLZ,Central America,#fec44f,200,191,182,175,169,163,159,155,152,148,146,143,140,137,134,130,128,126,124,122,119,117,115,112,109,105
BOL,South America,#fe9929,19846,19350,18849,18363,17837,17317,16748,16154,15559,14914,14275,13644,13029,12406,11830,11223,10665,10130,9621,9191,8818,8478,8173,7902,7662,7428
BRA,South America,#fe9929,189033,179967,170949,161496,152565,143617,135240,126622,118480,110829,102659,95140,88031,81420,75044,69608,64790,60872,57193,54018,51288,48631,45994,43945,41570,39763
CHL,South America,#fe9929,4302,3925,3603,3282,3048,2872,2754,2664,2551,2391,2237,2116,2026,1991,1959,1929,1923,1941,1882,1846,1809,1773,1762,1776,1744,1713
COL,South America,#fe9929,25282,24381,23532,22650,21751,20857,19988,19241,18533,17944,17375,16810,16319,15810,15201,14660,14111,13564,13025,12496,11979,11475,11058,10574,10175,9708
CRI,Central America,#fec44f,1138,1106,1071,1043,1022,1022,1020,983,921,852,792,751,706,678,661,645,652,651,643,634,631,620,602,577,553,535
CUB,Caribbean,#fee391,1696,1542,1475,1428,1352,1233,1134,1052,1001,935,899,836,788,744,689,652,618,614,600,588,578,554,556,543,541,524
DMA,Caribbean,#fee391,21,21,21,20,20,19,18,17,16,15,15,14,14,14,14,15,16,17,19,21,23,26,29,31,33,34
DOM,Caribbean,#fee391,9525,9229,8918,8593,8282,7970,7707,7454,7255,7088,6970,6854,6756,6651,6582,6506,6423,6358,6267,6195,6119,6017,5911,5779,5624,5467
ECU,South America,#fe9929,12923,12440,11945,11470,10983,10514,10062,9627,9245,8890,8569,8287,8047,7852,7698,7521,7379,7235,7085,6894,6728,6587,6406,6221,6030,5867
SLV,Central America,#fec44f,7166,6827,6479,6119,5760,5382,5019,4644,4294,3960,3662,3376,3122,2901,2699,2526,2378,2238,2117,2000,1887,1803,1711,1633,1569,1517
GRD,Caribbean,#fee391,47,43,39,36,34,32,30,28,28,27,26,26,25,25,25,25,25,25,26,26,26,27,28,28,29,29
GTM,Central America,#fec44f,21003,20522,20069,19596,19106,18605,18106,17618,17144,16678,16209,15690,15203,14633,14118,13551,13031,12573,12143,11743,11371,11058,10754,10450,10185,9956
GUY,South America,#fe9929,955,933,909,887,862,837,811,781,752,721,689,658,628,598,571,547,526,510,495,484,475,466,458,448,437,426
HTI,Caribbean,#fee391,25444,24805,24172,23541,22908,22241,21611,20938,20302,19655,19063,18531,18040,17616,17254,16893,16551,16220,15871,22505,15086,14771,14364,13988,13616,13248
HND,Central America,#fec44f,8297,8123,7930,7717,7524,7314,7110,7688,6663,6451,6200,5957,5702,5456,5201,4937,4689,4458,4229,4024,3827,3660,3522,3374,3274,3160
JAM,Caribbean,#fee391,1497,1446,1397,1355,1307,1264,1213,1165,1115,1069,1023,984,946,916,894,874,850,828,805,783,756,730,705,681,657,633
MEX,Central America,#fec44f,84895,81536,78359,74876,71818,68441,65239,61727,58407,55041,52123,49173,46455,43987,41791,39889,38296,37009,35788,34615,33700,32781,31834,31080,30048,29211
NIC,Central America,#fec44f,7260,6932,6602,6258,5931,5605,5283,5143,4676,4412,4168,3947,3749,3558,3400,3232,3079,2923,2779,2645,2523,2412,2303,2195,2101,2021
PAN,Central America,#fec44f,1635,1609,1597,1593,1590,1587,1584,1578,1563,1546,1520,1493,1467,1441,1415,1390,1366,1334,1310,1284,1256,1226,1202,1167,1138,1108
PRY,South America,#fe9929,5083,4968,4848,4738,4635,4521,4392,4263,4136,3971,3833,3684,3544,3415,3296,3199,3106,3026,2931,2834,2751,2668,2588,2524,2461,2385
PER,South America,#fe9929,35390,33672,31762,29748,27712,25668,23698,21749,20020,18386,16971,15706,14587,13611,12716,11965,11296,10643,10122,9605,9146,8678,8320,7947,7623,7287
KNA,Caribbean,#fee391,23,22,22,21,21,20,19,18,17,16,15,14,13,12,12,11,10,10,9,9,8,8,8,7,7,7
LCA,Caribbean,#fee391,67,66,64,62,60,57,54,51,48,45,42,40,38,37,35,34,33,32,31,30,29,29,28,27,26,25
VCT,Caribbean,#fee391,52,50,49,48,47,46,46,44,43,42,41,41,40,39,39,38,38,37,36,35,34,32,30,29,27,26
SUR,South America,#fe9929,434,423,412,400,388,374,361,348,335,322,310,297,286,275,264,254,245,237,228,220,214,207,200,194,187,181
TTO,Caribbean,#fee391,639,600,565,534,509,490,476,465,457,453,452,450,449,444,440,435,427,421,412,401,389,375,359,344,324,308
URY,South America,#fe9929,1138,1120,1098,1067,1034,993,939,892,839,804,775,752,723,691,648,606,561,516,482,454,436,419,407,395,389,382
VEN,South America,#fe9929,13726,13390,13156,12977,12688,12351,11966,11471,11675,10725,10418,10170,9921,9669,9414,9155,8949,8858,8821,8839,8850,8856,8795,8728,8596,8400
DZA,Northern Africa,#a50f15,32980,31534,30042,28390,26782,25187,23730,22465,21508,20727,20188,19787,19545,19466,19488,19686,19920,20184,20415,20647,20845,20908,21037,20961,20792,20276
BHR,Western Asia,#fa9fb5,276,266,253,236,217,199,184,172,163,158,154,154,154,153,153,153,150,148,146,142,142,141,141,141,141,140
DJI,Eastern Africa,#fb6a4a,2012,2020,2015,1994,1963,1922,1877,1838,1797,1760,1724,1688,1648,1606,1557,1508,1458,1412,1370,1330,1296,1264,1234,1207,1176,1148
EGY,Northern Africa,#a50f15,113502,106663,99906,93088,86905,81095,76172,71870,68283,65311,63001,60706,58905,57236,55975,55094,54515,54229,54349,54486,54635,54359,53523,52592,50866,48957
IRN,Southern Asia,#dd3497,75288,69071,63328,58028,53120,48671,44675,41098,37921,35138,32856,30896,29187,27902,26742,25664,24749,23952,23096,22410,21733,20917,20243,19306,18392,17381
IRQ,Western Asia,#fa9fb5,27783,27939,28198,28419,28728,29028,29296,29516,29605,29734,29842,29955,30182,30361,30675,30942,31241,31551,31852,32123,32234,32387,32350,32115,31913,31513
ISR,Western Asia,#fa9fb5,931,898,866,823,801,766,752,735,728,706,694,682,655,641,626,612,597,582,581,579,560,536,543,514,499,482
JOR,Western Asia,#fa9fb5,3757,3785,3818,3839,3844,3843,3821,3795,3741,3693,3629,3585,3537,3504,3505,3527,3549,3601,3658,3713,3758,3786,3792,3773,3728,3681
KWT,Western Asia,#fa9fb5,653,565,524,504,492,491,489,489,487,485,482,480,484,487,494,507,522,531,538,538,534,522,513,496,482,467
LBN,Western Asia,#fa9fb5,1754,1669,1587,1513,1439,1370,1293,1221,1148,1067,983,898,813,731,662,603,562,537,533,536,549,563,580,592,605,602
LBY,Northern Africa,#a50f15,4381,4107,3863,3640,3442,3280,3141,3013,2905,2807,2731,2653,2582,2493,2395,2284,2159,2040,1941,1846,1819,1692,1621,1543,1473,1387
MLT,Southern Europe,#08519c,51,49,47,44,43,40,38,36,33,31,29,27,25,24,23,23,23,23,23,23,24,24,24,25,25,25
MAR,Northern Africa,#a50f15,43401,41277,39181,37054,35001,33001,31168,29530,28097,26796,25731,24737,23846,23040,22319,21633,21058,20525,20083,19705,19289,18805,18236,17718,17047,16381
OMN,Western Asia,#fa9fb5,2025,1824,1637,1472,1330,1198,1081,980,883,804,736,681,645,620,602,602,614,631,651,679,705,728,739,750,747,745
QAT,Western Asia,#fa9fb5,175,163,153,145,139,134,130,127,126,125,125,125,125,125,127,130,133,138,144,150,157,164,170,177,183,185
SAU,Western Asia,#fa9fb5,19087,17733,16418,15227,14184,13200,12295,11537,10932,10370,9961,9583,9336,9098,8976,8907,8769,8557,8388,8145,7952,7757,7562,7366,7103,6953
SYR,Western Asia,#fa9fb5,13000,12548,12180,11848,11539,11280,11004,10692,10387,10097,9784,9462,9190,8864,8633,8325,8035,7757,7487,7326,7159,7085,6814,6520,6183,5921
TUN,Northern Africa,#a50f15,8916,8369,7797,7233,6703,6171,5671,5217,4790,4424,4101,3836,3593,3404,3252,3120,3024,2957,2895,2845,2800,2755,2706,2612,2537,2442
ARE,Western Asia,#fa9fb5,657,626,604,579,555,537,520,511,505,503,506,519,537,552,574,596,617,635,639,645,644,646,641,630,616,599
GAZA,Western Asia,#fa9fb5,3387,3389,3383,3357,3320,3272,3205,3133,3062,2983,2912,2853,2797,2758,2725,2698,2677,2659,2643,2628,2625,2608,2588,2565,2537,2504
YEM,Western Asia,#fa9fb5,54936,54916,54760,54430,53910,53212,52160,50920,49476,47919,46306,44740,43248,41882,40493,39160,37885,36738,35789,35272,35432,35870,36333,36730,37056,37312
CAN,Northern America,#ec7014,2559,2481,2351,2285,2133,2050,1929,1883,1809,1746,1764,1763,1741,1763,1794,1830,1832,1830,1860,1845,1824,1797,1804,1771,1737,1663
USA,Northern America,#ec7014,36071,35006,33838,32589,31689,30387,29512,28693,28338,28054,27840,27671,27921,28162,27952,27660,27263,26767,26189,25154,24525,23941,23438,23033,22726,22500
AFG,Southern Asia,#dd3497,74324,75406,76860,78575,80405,82227,83955,85436,86705,87545,87865,87913,87431,86641,85408,83909,81908,79546,76883,74119,71359,68696,66203,64027,62058,60384
