id,parent,Color,size,sd
Computer & Electronics Retail,Consumer Discretionary,#8DD2C6,38.16666667,0
BBY,Computer & Electronics Retail,#8DD2C6,38.16666667,0.842321306
Apparel; Accessories & Luxury Goods,Consumer Discretionary,#8DD2C6,550.8333333,5
COH,Apparel; Accessories & Luxury Goods,#8DD2C6,35.66666667,0.623801737
NKE,Apparel; Accessories & Luxury Goods,#8DD2C6,50,0.761084903
PVH,Apparel; Accessories & Luxury Goods,#8DD2C6,106.5,2.991206845
KORS,Apparel; Accessories & Luxury Goods,#8DD2C6,49.66666667,1.143198582
RL,Apparel; Accessories & Luxury Goods,#8DD2C6,100,2.96042903
UA,Apparel; Accessories & Luxury Goods,#8DD2C6,25.16666667,0.632354909
VFC,Apparel; Accessories & Luxury Goods,#8DD2C6,54.16666667,1.104544595
TIF,Apparel; Accessories & Luxury Goods,#8DD2C6,75.33333333,2.817747037
HBI,Apparel; Accessories & Luxury Goods,#8DD2C6,23.66666667,0.562301629
UAA,Apparel; Accessories & Luxury Goods,#8DD2C6,30.66666667,0.65990325
Hotels; Resorts & Cruise Lines,Consumer Discretionary,#8DD2C6,263.3333333,3
RCL,Hotels; Resorts & Cruise Lines,#8DD2C6,77.16666667,1.782675234
MAR,Hotels; Resorts & Cruise Lines,#8DD2C6,71.5,1.892656879
WYN,Hotels; Resorts & Cruise Lines,#8DD2C6,66.16666667,1.79471892
CCL,Hotels; Resorts & Cruise Lines,#8DD2C6,48.5,0.911271738
Apparel Retail,Consumer Discretionary,#8DD2C6,326.8333333,3
LB,Apparel Retail,#8DD2C6,65.66666667,1.136165185
FL,Apparel Retail,#8DD2C6,67.5,2.063862024
URBN,Apparel Retail,#8DD2C6,33,1.551832002
ROST,Apparel Retail,#8DD2C6,61.83333333,0.924920686
TJX,Apparel Retail,#8DD2C6,72.66666667,1.360386187
GPS,Apparel Retail,#8DD2C6,26.16666667,1.19491744
Restaurants,Consumer Discretionary,#8DD2C6,669.3333333,8.062257748
MCD,Restaurants,#8DD2C6,112.6666667,1.549104705
CMG,Restaurants,#8DD2C6,377.3333333,7.678829382
DRI,Restaurants,#8DD2C6,65.5,2.220893117
YUM,Restaurants,#8DD2C6,60.83333333,0.965331415
SBUX,Restaurants,#8DD2C6,53,1.241048551
Automotive Retail,Consumer Discretionary,#8DD2C6,138.8333333,3.16227766
AAP,Automotive Retail,#8DD2C6,138.8333333,3.190276447
Internet & Direct Marketing Retail,Consumer Discretionary,#8DD2C6,2459,64.91532947
PCLN,Internet & Direct Marketing Retail,#8DD2C6,1507.333333,62.71625074
EXPE,Internet & Direct Marketing Retail,#8DD2C6,125,1.178120711
AMZN,Internet & Direct Marketing Retail,#8DD2C6,767.6666667,15.90658187
TRIP,Internet & Direct Marketing Retail,#8DD2C6,59,5.227138284
Cable & Satellite,Consumer Discretionary,#8DD2C6,426.1666667,9.110433579
CHTR,Cable & Satellite,#8DD2C6,259.1666667,8.96398414
DISCA,Cable & Satellite,#8DD2C6,25.16666667,0.645140111
DISCK,Cable & Satellite,#8DD2C6,24.5,0.518314297
DISH,Cable & Satellite,#8DD2C6,55.5,1.244688989
CMCSA,Cable & Satellite,#8DD2C6,61.83333333,1.633899036
Tires & Rubber,Consumer Discretionary,#8DD2C6,27.83333333,0
GT,Tires & Rubber,#8DD2C6,27.83333333,0.676399561
Broadcasting & Cable TV,Consumer Discretionary,#8DD2C6,338.5,1
SNI,Broadcasting & Cable TV,#8DD2C6,65,0.876375981
TWX,Broadcasting & Cable TV,#8DD2C6,86.5,0.80439471
CBS,Broadcasting & Cable TV,#8DD2C6,56.66666667,0.848491698
DIS,Broadcasting & Cable TV,#8DD2C6,93.5,1.015701321
VIAB,Broadcasting & Cable TV,#8DD2C6,36.83333333,0.773799515
Automobile Manufacturers,Consumer Discretionary,#8DD2C6,42.16666667,0
F,Automobile Manufacturers,#8DD2C6,11,0.580933157
GM,Automobile Manufacturers,#8DD2C6,31.16666667,0.768291801
Distributors,Consumer Discretionary,#8DD2C6,31.16666667,0
LKQ,Distributors,#8DD2C6,31.16666667,0.63037517
Consumer Electronics,Consumer Discretionary,#8DD2C6,47.66666667,0
GRMN,Consumer Electronics,#8DD2C6,47.66666667,0.973450466
Specialty Retail,Consumer Discretionary,#8DD2C6,65.66666667,1
TSCO,Specialty Retail,#8DD2C6,65.66666667,1.344030987
Department Stores,Consumer Discretionary,#8DD2C6,89.16666667,2.236067977
JWN,Department Stores,#8DD2C6,51.83333333,1.940193213
M,Department Stores,#8DD2C6,37.33333333,1.427295273
Specialty Stores,Consumer Discretionary,#8DD2C6,1540,7.615773106
SIG,Specialty Stores,#8DD2C6,83.5,3.224668398
SPLS,Specialty Stores,#8DD2C6,7.333333333,0.626307521
BBBY,Specialty Stores,#8DD2C6,39.83333333,1.756568521
KMX,Specialty Stores,#8DD2C6,50,1.429702267
AN,Specialty Stores,#8DD2C6,40.66666667,0.84829531
AZO,Specialty Stores,#8DD2C6,736.3333333,5.470095978
ULTA,Specialty Stores,#8DD2C6,232.5,2.92129234
ORLY,Specialty Stores,#8DD2C6,261,1.682669834
GPC,Specialty Stores,#8DD2C6,88.83333333,2.075802338
Housewares & Specialties,Consumer Discretionary,#8DD2C6,48.16666667,1
NWL,Housewares & Specialties,#8DD2C6,48.16666667,1.226987632
Publishing,Consumer Discretionary,#8DD2C6,95.16666667,0
FOXA,Publishing,#8DD2C6,26.83333333,0.525213622
TGNA,Publishing,#8DD2C6,18.33333333,0.74818637
NWS,Publishing,#8DD2C6,12,0.302765035
FOX,Publishing,#8DD2C6,26.83333333,0.417798826
NWSA,Publishing,#8DD2C6,11.16666667,0.772600227
Advertising,Consumer Discretionary,#8DD2C6,101.3333333,0
IPG,Advertising,#8DD2C6,21.5,0.639478908
OMC,Advertising,#8DD2C6,79.83333333,0.87629218
Home Furnishings,Consumer Discretionary,#8DD2C6,237.8333333,8
LEG,Home Furnishings,#8DD2C6,45.5,1.139261433
MHK,Home Furnishings,#8DD2C6,192.3333333,7.98571077
Motorcycle Manufacturers,Consumer Discretionary,#8DD2C6,56.66666667,1.414213562
HOG,Motorcycle Manufacturers,#8DD2C6,56.66666667,1.498139122
Auto Parts & Equipment,Consumer Discretionary,#8DD2C6,101.5,1.414213562
BWA,Auto Parts & Equipment,#8DD2C6,34.5,0.609262127
DLPH,Auto Parts & Equipment,#8DD2C6,67,1.687459254
Home Improvement Retail,Consumer Discretionary,#8DD2C6,190.5,3.16227766
LOW,Home Improvement Retail,#8DD2C6,66.83333333,1.188144523
HD,Home Improvement Retail,#8DD2C6,123.6666667,3.0112775
Homebuilding,Consumer Discretionary,#8DD2C6,86.5,0
LEN,Homebuilding,#8DD2C6,40.83333333,0.706312685
PHM,Homebuilding,#8DD2C6,18,0.406509705
DHI,Homebuilding,#8DD2C6,27.66666667,0.867154132
Leisure Products,Consumer Discretionary,#8DD2C6,112.5,1
MAT,Leisure Products,#8DD2C6,30.33333333,0.596526631
HAS,Leisure Products,#8DD2C6,82.16666667,1.15334825
General Merchandise Stores,Consumer Discretionary,#8DD2C6,256.3333333,3.872983346
TGT,General Merchandise Stores,#8DD2C6,67.33333333,1.509280697
DG,General Merchandise Stores,#8DD2C6,69.83333333,2.115976715
DLTR,General Merchandise Stores,#8DD2C6,75,1.267450094
KSS,General Merchandise Stores,#8DD2C6,44.16666667,2.965802849
Casinos & Gaming,Consumer Discretionary,#8DD2C6,86.66666667,1
WYNN,Casinos & Gaming,#8DD2C6,86.66666667,1.103020032
Household Appliances,Consumer Discretionary,#8DD2C6,431.6666667,7.549834435
WHR,Household Appliances,#8DD2C6,156.3333333,4.833131677
SWK,Household Appliances,#8DD2C6,117.6666667,3.707935186
SNA,Household Appliances,#8DD2C6,157.6666667,4.597834216
Telecommunications Services,SP500,#CCEBC5,161.3333333,1
Alternative Carriers,Telecommunications Services,#CCEBC5,52.16666667,1
LVLT,Alternative Carriers,#CCEBC5,52.16666667,1.409065801
Integrated Telecommunications Services,Telecommunications Services,#CCEBC5,109.1666667,0
CTL,Integrated Telecommunications Services,#CCEBC5,23.33333333,0.579851733
FTR,Integrated Telecommunications Services,#CCEBC5,3,0.18380243
T,Integrated Telecommunications Services,#CCEBC5,36.16666667,0.730479632
VZ,Integrated Telecommunications Services,#CCEBC5,46.66666667,0.734064703
Health Care,SP500,#BDB9DA,6993.166667,51.98076567
Pharmaceuticals,Health Care,#BDB9DA,652.1666667,12.24744871
AGN,Pharmaceuticals,#BDB9DA,200.8333333,9.943255397
MRK,Pharmaceuticals,#BDB9DA,60.66666667,2.568848421
PFE,Pharmaceuticals,#BDB9DA,30.66666667,1.393896049
MYL,Pharmaceuticals,#BDB9DA,36.33333333,1.719395486
LLY,Pharmaceuticals,#BDB9DA,74.5,2.589873593
ZTS,Pharmaceuticals,#BDB9DA,49.66666667,0.906473693
PRGO,Pharmaceuticals,#BDB9DA,82.66666667,3.044898433
MNK,Pharmaceuticals,#BDB9DA,58,4.440902698
