Label,Parent,Color,Mean,sd
Western Asia,Asia,#ffffff,153602.19320176155,35419.64318501053
ARM,Western Asia,#fa9fb5,1165.038510983507,668.1999678884468
AZE,Western Asia,#fa9fb5,8365.26928255004,3578.7937178324523
CYP,Western Asia,#fa9fb5,67.42313538870272,35.84171313543413
GEO,Western Asia,#fa9fb5,1635.653890723215,911.9834295815294
TUR,Western Asia,#fa9fb5,37560.26927560716,17944.593580328037
BHR,Western Asia,#fa9fb5,172.19235266202253,41.11055110989179
IRQ,Western Asia,#fa9fb5,30364.692362822636,1454.7020637686257
ISR,Western Asia,#fa9fb5,668.8077421479973,123.31105913808493
JOR,Western Asia,#fa9fb5,3702.3846541423086,111.21534309926051
KWT,Western Asia,#fa9fb5,509.84620291241924,36.842378728754845
LBN,Western Asia,#fa9fb5,938.8462084832133,406.6004178350339
OMN,Western Asia,#fa9fb5,927.2692761492536,397.9342382383123
QAT,Western Asia,#fa9fb5,145.19236796997987,19.922965239982975
SAU,Western Asia,#fa9fb5,10592.153906957405,3346.8893005400837
SYR,Western Asia,#fa9fb5,9196.923121282127,2074.5388858102388
ARE,Western Asia,#fa9fb5,584.3461950939683,52.28320893261259
GAZA,Western Asia,#fa9fb5,2894.923129675403,305.3642150277109
YEM,Western Asia,#fa9fb5,44110.96158621019,7417.0935327694415
Europe,root,#ffffff,61918.040541960676,21574.2207465421
Eastern Europe,Europe,#ffffff,38312.000481454525,14085.026815522491
BLR,Eastern Europe,#6baed6,819.0000476873785,423.34200024120383
BGR,Eastern Europe,#6baed6,882.1923455184873,311.5962621400477
CZE,Eastern Europe,#6baed6,488.19235050099917,276.3207425549834
HUN,Eastern Europe,#6baed6,808.0385081970961,405.1189445050025
MDA,Eastern Europe,#6baed6,1137.8077444174253,570.1139484362673
POL,Eastern Europe,#6baed6,3476.307753414656,2023.1183982184098
ROU,Eastern Europe,#6baed6,3628.4231254927627,1646.5785068322934
RUS,Eastern Europe,#6baed6,20287.000041563333,6384.558227915916
SVK,Eastern Europe,#6baed6,466.80774327579525,192.87381287817203
UKR,Eastern Europe,#6baed6,6318.2308213865945,1969.8751691252814
Northern Europe,Europe,#ffffff,5911.115917101698,1416.9145862462028
DNK,Northern Europe,#4292c6,284.1539000586935,71.29499907483756
EST,Northern Europe,#4292c6,110.15391263731894,69.78466912892254
FIN,Northern Europe,#4292c6,198.26928512975775,63.62905859767679
ISL,Northern Europe,#4292c6,12.653890974248876,4.463040996820591
IRL,Northern Europe,#4292c6,290.2308329034288,43.27133434794308
LVA,Northern Europe,#4292c6,234.69235847023828,123.62186926754957
LTU,Northern Europe,#4292c6,306.73081774863226,193.4426089589052
NOR,Northern Europe,#4292c6,212.50004856754748,66.4936341456802
SWE,Northern Europe,#4292c6,349.80775101994396,103.60241618641514
GBR,Northern Europe,#4292c6,3911.9231195918887,702.1594162865881
Southern Europe,Europe,#ffffff,9021.923734632328,3898.847071778277
ALB,Southern Europe,#08519c,1113.5385032463944,683.8958077894715
AND,Southern Europe,#08519c,2.9231306261865777,0.7806741621106954
BIH,Southern Europe,#08519c,379.2692772222899,223.23005537117885
HRV,Southern Europe,#08519c,298.384666212578,114.76937139537401
GRC,Southern Europe,#08519c,549.538512912023,209.9972952457313
ITA,Southern Europe,#08519c,2478.5769672208003,872.1250459361244
MKD,Southern Europe,#08519c,421.65389190081544,257.72017666695876
MNE,Southern Europe,#08519c,85.038511944611,37.90725312363648
PRT,Southern Europe,#08519c,546.5000464132393,276.62029264834763
SMR,Southern Europe,#08519c,1.3077422217234944,0.5384622440488884
SRB,Southern Europe,#08519c,1269.0385067344737,789.0296107799596
